City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
316,Estelle,US,86.0,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
320,Qena,EG,86.43,scattered clouds,26.1615,32.7183,"Grand hotel ""Quena"""
321,Gabu,GW,84.0,broken clouds,12.2833,-14.2167,Hotel karsa
323,Boyolangu,ID,75.67,overcast clouds,-8.1181,111.8935,Yos ega cv
331,Port Blair,IN,80.82,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
332,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
339,Poso,ID,75.99,broken clouds,-1.3959,120.7524,Hotel 77 Poso
340,Itororo,BR,70.48,overcast clouds,-15.1169,-40.0703,Hotel Indiana
347,Guane,CU,81.79,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
349,Takoradi,GH,79.61,overcast clouds,4.8845,-1.7554,Raybow International Hotel
350,Grajau,BR,75.72,overcast clouds,-5.8194,-46.1386,Hotel Confiança
352,Tchaourou,BJ,83.7,overcast clouds,8.8865,2.5975,SAFIR HOTEL
354,Kudahuvadhoo,MV,83.7,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
362,Marsh Harbour,BS,77.05,broken clouds,26.5412,-77.0636,Abaco Beach Resort
364,Alyangula,AU,81.95,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
365,Wau,SS,84.81,overcast clouds,7.7029,27.9953,Universal Gab Hotel
369,Grand Gaube,MU,77.4,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
378,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
380,Mareeba,AU,74.12,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
384,Sambava,MG,74.97,broken clouds,-14.2667,50.1667,Melrose
390,Honiara,SB,83.01,overcast clouds,-9.4333,159.95,Heritage Park Hotel
391,Boundiali,CI,79.83,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
392,Garissa,KE,80.98,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
394,Santa Cruz,BO,75.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
403,Dickinson,US,88.09,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
404,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
407,Namatanai,PG,83.75,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
409,Lorengau,PG,82.49,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
410,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
417,Tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
418,Vao,NC,76.98,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
422,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
424,San Pedro De Macoris,DO,83.01,overcast clouds,18.4616,-69.2972,Apartahotel Guaraguao
425,Valera,VE,74.48,overcast clouds,9.3178,-70.6036,Hotel Camino Real
427,Sao Joao Da Barra,BR,71.28,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
429,Brookhaven,US,83.86,overcast clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
434,Nambiyur,IN,76.59,clear sky,11.3667,77.3333,City lodge A/C
437,Harper,LR,77.34,overcast clouds,4.375,-7.7169,Screensaver
439,Ampanihy,MG,71.82,overcast clouds,-24.7,44.75,Angora Hotel
441,Tucurui,BR,76.82,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
443,Belmonte,BR,77.07,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
449,Mogadishu,SO,82.63,light rain,2.0371,45.3438,Hotel Juba
450,Canjulao,PH,77.43,overcast clouds,9.6605,124.3532,Dine & Sign and IDEA Pension House
452,Nushki,PK,79.05,overcast clouds,29.5542,66.0215,Shams hotel
456,Loreto,MX,88.9,few clouds,22.2667,-101.9667,José de Jesús Velásquez mora
458,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
461,Altus,US,78.28,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
465,Morant Bay,JM,82.02,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
472,Odweyne,SO,73.54,overcast clouds,9.4092,45.064,Eng Hiirey House
474,Ponneri,IN,85.98,scattered clouds,13.3167,80.2,Dhasaratha Nagar Park
475,Noumea,NC,80.58,few clouds,-22.2763,166.4572,Hôtel Le Lagon
484,Banda Aceh,ID,78.58,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
488,Quelimane,MZ,76.33,overcast clouds,-17.8786,36.8883,Hotel Flamingo
491,Bosaso,SO,84.61,clear sky,11.2842,49.1816,Red Sea Hotel
494,Manicore,BR,76.14,overcast clouds,-5.8092,-61.3003,Hotel Durval
495,San Patricio,US,89.69,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
497,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
502,Tautira,PF,81.19,few clouds,-17.7333,-149.15,Pension Oaoa
510,Dori,BF,84.15,broken clouds,14.0354,-0.0345,Hôtel Liptako
512,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
513,Itarema,BR,78.58,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
521,Sibolga,ID,77.34,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
522,Gbarnga,LR,73.36,overcast clouds,6.9956,-9.4722,Passion Hotel 2
523,Jacmel,HT,80.71,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
528,Kariba,ZW,70.97,clear sky,-16.5167,28.8,Caribbea Bay Hotel
529,Bandarbeyla,SO,81.23,broken clouds,9.4942,50.8122,JABIR HOTEL
530,Keshod,IN,75.88,clear sky,21.3,70.25,Hotel New Rajdhani
533,Amahai,ID,78.66,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
538,Qui Nhon,VN,73.69,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
539,Sao Jose Da Coroa Grande,BR,78.73,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
543,Kalmunai,LK,78.37,broken clouds,7.4167,81.8167,VS Villa
553,Asyut,EG,87.04,broken clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
560,Gigmoto,PH,77.61,scattered clouds,13.7796,124.39,Cj's Travellers Inn
561,Paragominas,BR,74.43,light rain,-2.9667,-47.4833,INOVA
563,Kikwit,CD,72.68,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
564,Florida,US,84.02,clear sky,28.7505,-82.5001,Sportsmens Cove
570,Biak,ID,75.43,broken clouds,-0.9131,122.8766,Penginapan Kim
575,Socorro,US,88.92,scattered clouds,31.6546,-106.3033,guarderia imss papalote
578,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
588,Osmena,PH,82.09,broken clouds,10.5208,119.9258,Arjemarkyza Lodge
589,Lompoc,US,72.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
591,Linguere,SN,82.35,clear sky,15.3953,-15.1193,AYO Casablanca
592,Trairi,BR,78.39,overcast clouds,-3.2778,-39.2689,janelas do mar
593,Owando,CG,74.7,light rain,-0.4819,15.8999,Exaunel Hotel Owando
601,San Policarpo,PH,81.5,overcast clouds,12.1791,125.5072,Agapita M. Nicart
606,Sinnamary,GF,77.86,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
609,Marietta,US,74.32,overcast clouds,33.9526,-84.5499,Hilton Atlanta/Marietta Hotel & Conference Center
610,Buala,SB,82.62,light rain,-8.145,159.5921,Maringe Lagoon Lodge
617,Matale,LK,71.51,scattered clouds,7.4721,80.6234,Anil's Inn
623,Alta Floresta,BR,74.01,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
632,Ratnagiri,IN,80.02,clear sky,16.9833,73.3,Hotel Landmark
641,Negara,ID,77.54,overcast clouds,-8.3151,114.6025,Villa Maya West Bali
644,Binabalian,PH,81.46,broken clouds,16.4202,119.9279,Sundowners Vacation Villas
648,Santa Ines,BR,75.65,light rain,-3.6667,-45.38,Palace hotel
649,Salina Cruz,MX,89.13,broken clouds,16.1667,-95.2,Amerik HOTEL
651,San Fernando,PH,82.13,scattered clouds,15.0286,120.6898,Maharlika Hostel
652,Laguna,US,74.75,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
654,Alirajpur,IN,78.19,clear sky,22.3031,74.3546,Shree Yatindrasuri Indra Bhavan
658,Cobija,BO,78.53,broken clouds,-11.0267,-68.7692,Hotel Obelisco
661,Petatlan,MX,87.6,broken clouds,17.5167,-101.2667,Hotel California Petatlán
662,Bontang,ID,78.21,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
663,Bilma,NE,82.81,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
664,Bonthe,SL,79.09,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
666,Katobu,ID,75.07,overcast clouds,-4.9408,122.5276,La Ode Husein
669,Namibe,AO,74.82,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
671,Caravelas,BR,77.67,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
672,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
674,Marang,MY,79.3,broken clouds,5.2056,103.2059,DBarakah Homestay
678,Boma,GH,74.32,light rain,7.0805,-2.1697,Obaatanpa Hotel
686,Morondava,MG,81.23,clear sky,-20.2833,44.2833,La Case Bambou
